Item Name,Date Posted,Price,Seller Location,Web Link
GOLD VINYL / STEEL PEDESTAL BASED MID-CENTURY MODERN CHAIR ~ A PAIR,Mar  1,$100, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-gold-vinyl-steel/7443268093.html
LAUREL MID-CENTURY MODERN TABLE LAMP ~ FREE CURBSIDE DELIVERY,Mar  1,$150, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-laurel-mid-century/7445845902.html
CAMPAIGN STYLE MID-CENTURY 5-DRAWER DRESSER / CHEST,Mar  1,$595, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-campaign-style-mid/7439860780.html
"West Elm - Mid-Century Expandable Dining Table, 39"" to 55""",Feb 27,$700,Shaw ,https://stlouis.craigslist.org/fuo/d/saint-louis-west-elm-mid-century/7451713212.html
Mid-century Modern China Cabinet,Feb 21,"$1,200",Olivette ,https://stlouis.craigslist.org/fuo/d/saint-louis-mid-century-modern-china/7449039660.html
2 Mid-century Living Room Chairs,Feb 16,$30,Clayton/U City ,https://stlouis.craigslist.org/fuo/d/saint-louis-mid-century-living-room/7446886438.html
Mid-Century Lane End Table,Feb 12,$80,Saint Ann ,https://stlouis.craigslist.org/fuo/d/saint-ann-mid-century-lane-end-table/7435773492.html
Two Tiered Mid-Century Modern Side Table,Feb  4,$30,WENTZVILLE ,https://stlouis.craigslist.org/fuo/d/wentzville-two-tiered-mid-century/7434784232.html
Mid Century Modern Wood Leather Lounge Chair MCM Accent Chairs Ottoman,Mar  5,$0, ,https://stlouis.craigslist.org/fud/d/saint-louis-mid-century-modern-wood/7454302843.html
Wood Mid Century Modern Media Console TV Stand End Accent Side Table,Mar  2,$0, ,https://stlouis.craigslist.org/fud/d/saint-louis-wood-mid-century-modern/7452939553.html
GREEN & TAN NYLON WEBBED ALUMINUM FRAMED LAWN CHAIR ~ A PAIR,Mar  2,$155, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-green-tan-nylon-webbed/7452772985.html
RED & TAN NYLON WEBBED ALUMINUM FRAMED LAWN CHAIR ~ A PAIR,Mar  2,$155, ,https://stlouis.craigslist.org/fuo/d/maryland-heights-red-tan-nylon-webbed/7452772790.html
Mid Century Modern Bookcase Tall Bookshelf Wood Bookshelves MCM Corner,Feb 28,$0, ,https://stlouis.craigslist.org/fud/d/saint-louis-mid-century-modern-bookcase/7452059995.html
Chromecraft Kitchen Table & Chairs / Vintage 1950's - 1960's,Feb 27,$600,Ellisville ,https://stlouis.craigslist.org/fuo/d/ballwin-chromecraft-kitchen-table/7439448007.html
"""Bentwood"" Rocker",Feb 23,$350,Clayton ,https://stlouis.craigslist.org/fuo/d/saint-louis-bentwood-rocker/7437226151.html
Mid Century Modern Wood Bedroom Chest Drawer Dresser Shelves TV Stand,Feb 21,$0, ,https://stlouis.craigslist.org/fud/d/saint-louis-mid-century-modern-wood/7449071103.html
Mid Century Modern Pine Wood Small Dining Table MCM Kitchen Table Set,Feb 20,$0, ,https://stlouis.craigslist.org/fud/d/saint-louis-mid-century-modern-pine/7448619627.html
Vermont Tubbs Rocking Chair,Feb 16,$1,Saint Louis ,https://stlouis.craigslist.org/fuo/d/saint-louis-vermont-tubbs-rocking-chair/7446697912.html
